date,price
2015-01-04,"1,216.10"
2015-01-11,"1,276.90"
2015-01-18,"1,292.60"
2015-01-25,"1,279.20"
2015-02-01,"1,234.60"
2015-02-08,"1,227.10"
2015-02-15,"1,204.90"
2015-02-22,"1,213.10"
2015-03-01,"1,164.30"
2015-03-08,"1,152.40"
2015-03-15,"1,184.60"
2015-03-22,"1,199.80"
2015-03-29,"1,200.90"
2015-04-05,"1,204.60"
2015-04-12,"1,203.10"
2015-04-19,"1,175.00"
2015-04-26,"1,174.50"
2015-05-03,"1,188.90"
2015-05-10,"1,225.30"
2015-05-17,"1,204.00"
2015-05-24,"1,189.80"
2015-05-31,"1,168.10"
2015-06-07,"1,179.20"
2015-06-14,"1,201.90"
2015-06-21,"1,173.20"
2015-06-28,"1,163.50"
2015-07-02,"1,157.90"
2015-07-12,"1,131.90"
2015-07-19,"1,085.50"
2015-07-26,"1,095.10"
2015-08-02,"1,094.10"
2015-08-09,"1,112.70"
2015-08-16,"1,159.60"
2015-08-23,"1,134.00"
2015-08-30,"1,121.40"
2015-09-06,"1,103.30"
2015-09-13,"1,137.80"
2015-09-20,"1,145.60"
2015-09-27,"1,136.60"
2015-10-04,"1,155.90"
2015-10-11,"1,183.10"
2015-10-18,"1,162.80"
2015-10-25,"1,141.40"
2015-11-01,"1,087.70"
2015-11-08,"1,080.90"
2015-11-15,"1,076.30"
2015-11-22,"1,056.20"
2015-11-29,"1,084.10"
2015-12-06,"1,075.70"
2015-12-13,"1,065.00"
2015-12-20,"1,075.90"
2015-12-27,"1,060.20"
2016-01-03,"1,097.90"
2016-01-10,"1,090.70"
2016-01-17,"1,096.30"
2016-01-24,"1,116.40"
2016-01-31,"1,157.70"
2016-02-07,"1,239.40"
2016-02-14,"1,230.80"
2016-02-21,"1,220.40"
2016-02-28,"1,270.70"
2016-03-06,"1,259.40"
2016-03-13,"1,254.30"
2016-03-20,"1,221.60"
2016-03-27,"1,223.50"
2016-04-03,"1,243.80"
2016-04-10,"1,234.60"
2016-04-17,"1,230.00"
2016-04-24,"1,290.50"
2016-05-01,"1,294.00"
2016-05-08,"1,272.70"
2016-05-15,"1,252.90"
2016-05-22,"1,216.70"
2016-05-29,"1,242.90"
2016-06-05,"1,275.90"
2016-06-12,"1,294.80"
2016-06-19,"1,322.40"
2016-06-26,"1,339.00"
2016-07-03,"1,358.40"
2016-07-10,"1,327.40"
2016-07-17,"1,323.40"
2016-07-24,"1,357.50"
2016-07-31,"1,344.40"
2016-08-07,"1,343.20"
2016-08-14,"1,346.20"
2016-08-21,"1,325.90"
2016-08-28,"1,326.70"
2016-09-04,"1,334.50"
2016-09-11,"1,310.20"
2016-09-18,"1,341.70"
2016-09-25,"1,317.10"
2016-10-02,"1,251.90"
2016-10-09,"1,255.50"
2016-10-16,"1,267.70"
2016-10-23,"1,276.80"
2016-10-30,"1,304.50"
2016-11-06,"1,224.30"
2016-11-13,"1,208.70"
2016-11-20,"1,178.40"
2016-11-27,"1,177.80"
2016-12-04,"1,161.90"
2016-12-11,"1,137.40"
2016-12-18,"1,133.60"
2016-12-26,"1,151.70"
2017-01-02,"1,173.40"
2017-01-08,"1,196.20"
2017-01-15,"1,204.90"
2017-01-22,"1,188.40"
2017-01-29,"1,220.80"
2017-02-05,"1,235.90"
2017-02-12,"1,239.10"
2017-02-19,"1,258.30"
2017-02-26,"1,226.50"
2017-03-05,"1,201.40"
2017-03-12,"1,230.20"
2017-03-19,"1,248.50"
2017-03-26,"1,251.20"
2017-04-02,"1,257.30"
2017-04-09,"1,288.50"
2017-04-16,"1,289.10"
2017-04-23,"1,268.30"
2017-04-30,"1,226.90"
2017-05-07,"1,227.70"
2017-05-14,"1,253.60"
2017-05-21,"1,268.10"
2017-05-28,"1,280.20"
2017-06-04,"1,271.40"
2017-06-11,"1,256.50"
2017-06-18,"1,256.40"
2017-06-25,"1,242.30"
2017-07-02,"1,209.70"
2017-07-09,"1,227.50"
2017-07-16,"1,254.90"
2017-07-23,"1,275.30"
2017-07-30,"1,264.60"
2017-08-06,"1,294.00"
2017-08-13,"1,291.60"
2017-08-20,"1,297.90"
2017-08-27,"1,330.40"
2017-09-03,"1,351.20"
2017-09-10,"1,325.20"
2017-09-17,"1,297.50"
2017-09-24,"1,284.80"
2017-10-01,"1,274.90"
2017-10-08,"1,304.60"
2017-10-15,"1,280.50"
2017-10-22,"1,271.80"
2017-10-29,"1,269.20"
2017-11-05,"1,274.20"
2017-11-12,"1,296.50"
2017-11-19,"1,287.30"
2017-11-26,"1,282.30"
2017-12-03,"1,248.40"
2017-12-10,"1,257.50"
2017-12-17,"1,278.80"
2017-12-25,"1,309.30"
2018-01-01,"1,322.30"
2018-01-07,"1,334.90"
2018-01-14,"1,333.10"
2018-01-21,"1,352.10"
2018-01-28,"1,337.30"
2018-02-04,"1,315.70"
2018-02-11,"1,356.20"
2018-02-18,"1,330.30"
2018-02-25,"1,323.40"
2018-03-04,"1,324.00"
2018-03-11,"1,312.30"
2018-03-18,"1,349.90"
2018-03-25,"1,327.30"
