Date,Closing Price,Open,Daily High,Daily Low
1/2/2012,1826.37,1831.69,1837.81,1814.55
1/3/2012,1875.41,1846.56,1875.41,1846.56
1/4/2012,1866.22,1883.48,1884.69,1866.22
1/5/2012,1863.74,1869.42,1875.97,1860.57
1/6/2012,1843.14,1867.12,1867.12,1824.29
1/9/2012,1826.49,1832.04,1832.04,1810.48
1/10/2012,1853.22,1841.13,1859.55,1840.47
1/11/2012,1845.55,1857.54,1857.82,1843.12
1/12/2012,1864.57,1853.1,1864.57,1837.96
1/13/2012,1875.68,1865.72,1881.84,1861.53
1/16/2012,1859.27,1860.77,1863.32,1843.86
1/17/2012,1892.74,1878.16,1892.76,1878.16
1/18/2012,1892.39,1891.17,1898.7,1884.33
1/19/2012,1914.97,1912.43,1914.98,1902.02
1/20/2012,1949.89,1922.13,1952.09,1922.13
1/25/2012,1952.23,1947.74,1973.35,1945.14
1/26/2012,1957.18,1959.19,1962.71,1949.51
1/27/2012,1964.83,1960.7,1966.2,1949.46
1/30/2012,1940.55,1956.63,1961.6,1936.14
1/31/2012,1955.79,1943.25,1960.44,1936.68
2/1/2012,1959.24,1948.57,1969.8,1947.46
2/2/2012,1984.3,1982.23,1993.88,1977.32
2/3/2012,1972.34,1982.24,1982.62,1961.95
2/6/2012,1973.13,1994.21,1996.05,1964.77
2/7/2012,1981.59,1976.77,1983.82,1971.33
2/8/2012,2003.73,1985.21,2003.73,1982.99
2/9/2012,2014.62,1998.2,2014.62,1978.51
2/10/2012,1993.71,2010.04,2011.52,1986.96
2/13/2012,2005.74,2000.66,2010.66,1991.28
2/14/2012,2002.64,1999.53,2008.65,1995.6
2/15/2012,2025.32,2012,2026.75,2009.68
2/16/2012,1997.45,2005.37,2012.44,1995.99
2/17/2012,2023.47,2025.56,2031.4,2019.79
2/20/2012,2024.9,2041.51,2047.43,2024.59
2/21/2012,2024.24,2022.05,2030.46,2007.46
2/22/2012,2028.65,2018.07,2028.93,2015.3
2/23/2012,2007.8,2016.46,2016.46,2001.25
2/24/2012,2019.89,2010.6,2019.9,1998.39
2/27/2012,1991.16,2013.61,2013.69,1987.74
2/28/2012,2003.69,1995.93,2006.26,1992.66
2/29/2012,2030.25,2015.38,2033.63,2015.38
3/2/2012,2034.63,2041.52,2046.82,2033.5
3/5/2012,2016.06,2028.97,2030.57,2011.5
3/6/2012,2000.36,2019.28,2023.83,1988.86
3/7/2012,1982.15,1968.72,1987.97,1966.69
3/8/2012,2000.76,1989.3,2004.72,1978.79
3/9/2012,2018.3,2017.67,2022.95,2001.67
3/12/2012,2002.5,2018.73,2019.14,2001.5
3/13/2012,2025.04,2012.91,2028.98,2012.91
3/14/2012,2045.08,2050.5,2057.28,2045.08
3/15/2012,2043.76,2044.01,2050.48,2038.6
3/16/2012,2034.44,2054.63,2054.99,2034.21
3/19/2012,2047,2040.07,2050.87,2036.35
3/20/2012,2042.15,2046.38,2055.34,2035.26
3/21/2012,2027.23,2031.58,2039.8,2022.97
3/22/2012,2026.12,2026.75,2031.42,2017.93
3/23/2012,2026.83,2015.07,2029.77,2013.72
3/26/2012,2019.19,2035.17,2041.05,2012.86
3/27/2012,2039.76,2042.47,2043.75,2028.39
3/28/2012,2031.74,2034.35,2038.45,2028.11
3/29/2012,2014.41,2019.41,2025.23,2004.94
3/30/2012,2014.04,2011.5,2018.09,2002.61
4/2/2012,2029.29,2022.42,2031.79,2015.72
4/3/2012,2049.28,2040.81,2051.8,2038.52
4/4/2012,2018.61,2046.9,2048.11,2015.57
4/5/2012,2028.77,2006.27,2030.69,1997.12
4/6/2012,2029.03,2026.32,2033.49,2022.81
4/9/2012,1997.08,2008.03,2009.36,1995.8
4/10/2012,1994.41,2000.77,2011.27,1990.13
4/12/2012,1986.63,1985.16,1986.63,1969.09
4/13/2012,2008.91,2001.71,2011.37,1996.23
4/16/2012,1992.63,1985.28,1998.35,1982.93
4/17/2012,1985.3,1995.33,1999.5,1982.44
4/18/2012,2004.53,2014.23,2014.95,2001.59
4/19/2012,1999.86,2000.4,2008.82,1994.61
4/20/2012,1974.65,1988.22,1988.22,1970.54
4/23/2012,1972.63,1971.39,1980.94,1964.12
4/24/2012,1963.42,1956.75,1972.24,1954.01
4/25/2012,1961.98,1980.51,1980.51,1961.97
4/26/2012,1964.04,1976.82,1979.43,1955.05
4/27/2012,1975.35,1972.05,1983.26,1967.84
4/30/2012,1981.99,1989.52,1991.12,1975.46
5/2/2012,1999.07,1994.17,2001.11,1989.55
5/3/2012,1995.11,1995.78,1998.9,1990.45
5/4/2012,1989.15,1987.03,1992.1,1981.58
5/7/2012,1956.44,1956.06,1960.51,1952.42
5/8/2012,1967.01,1967.28,1969.64,1961.44
5/9/2012,1950.29,1958.31,1962.04,1945.31
5/10/2012,1944.93,1944.8,1951.51,1937.14
5/11/2012,1917.13,1939,1939,1915.69
5/14/2012,1913.73,1917.26,1921.65,1900.43
5/15/2012,1898.96,1897.74,1904.99,1881.8
5/16/2012,1840.53,1886.69,1889.29,1840.23
5/17/2012,1845.24,1842.83,1856.34,1833.08
5/18/2012,1782.46,1813.79,1813.79,1779.47
5/21/2012,1799.13,1801.48,1804.48,1788.33
5/22/2012,1828.69,1825.82,1831.06,1813.53
5/23/2012,1808.62,1815.33,1815.33,1796.5
